Name	RA	Dec	V	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
SA 41-625	21 53 17.295	+45 35 14.74	14.205	+0.876	+0.373	+0.496	+0.509	+1.006	2	1	0.0071	0.0156	0.0212	0.0071	0.0064	0.0014	
SA 41-630	21 53 23.508	+45 38 17.36	14.986	+1.039	+0.787	+0.593	+0.513	+1.105	2	1	0.0163	0.0297	0.0035	0.0141	0.0007	0.0141	
SA 41-631	21 53 24.561	+45 35 45.09	13.390	+0.246	-0.106	+0.167	+0.196	+0.374	27	12	0.0014	0.0010	0.0018	0.0009	0.0011	0.0013	
SA 41-634	21 53 27.209	+45 35 40.95	13.164	+0.738	+0.217	+0.448	+0.455	+0.902	14	7	0.0006	0.0015	0.0019	0.0010	0.0026	0.0025	
SA 41-637	21 53 30.416	+45 36 11.04	14.426	+1.199	+0.800	+0.690	+0.673	+1.360	20	10	0.0013	0.0012	0.0103	0.0015	0.0025	0.0034	
SA 41-638	21 53 32.591	+45 37 00.50	14.045	+0.736	+0.131	+0.436	+0.461	+0.894	2	1	0.0021	0.0049	0.0304	0.0064	0.0177	0.0113	
SA 41-639	21 53 33.743	+45 34 20.95	14.130	+1.320	+1.045	+0.754	+0.716	+1.472	17	8	0.0006	0.0015	0.0118	0.0027	0.0017	0.0032	
SA 41-654	21 53 52.663	+45 33 07.25	10.038	+0.619	+0.207	+0.344	+0.312	+0.658	13	6	0.0003	0.0008	0.0023	0.0004	0.0007	0.0008	
SA 41-660	21 53 56.878	+45 32 23.66	12.804	+0.225	+0.081	+0.147	+0.169	+0.319	25	11	0.0015	0.0014	0.0015	0.0005	0.0012	0.0015	
SA 41-171	21 54 04.972	+45 13 13.57	11.144	+0.315	+0.185	+0.181	+0.206	+0.388	14	7	0.0018	0.0017	0.0006	0.0013	0.0010	0.0011	
SA 41-673	21 54 07.165	+45 32 38.06	14.098	+0.235	-0.198	+0.155	+0.180	+0.334	33	15	0.0014	0.0018	0.0023	0.0019	0.0031	0.0019	
SA 41-674	21 54 07.517	+45 32 07.05	14.560	+1.051	+0.831	+0.664	+0.595	+1.260	9	4	0.0030	0.0033	0.0101	0.0052	0.0011	0.0065	
SA 41-179	21 54 10.448	+45 16 31.11	11.868	+0.498	+0.177	+0.291	+0.296	+0.586	9	4	0.0017	0.0014	0.0029	0.0011	0.0019	0.0004	
SA 41-182	21 54 12.587	+45 14 36.50	9.969	+0.307	+0.159	+0.182	+0.197	+0.381	15	8	0.0009	0.0011	0.0007	0.0006	0.0010	0.0012	
SA 41-190	21 54 18.195	+45 15 22.57	10.367	+0.289	+0.074	+0.165	+0.166	+0.332	17	8	0.0012	0.0008	0.0009	0.0004	0.0004	0.0010	
SA 41-204	21 54 31.607	+45 13 51.39	10.973	+1.743	+2.064	+1.075	+1.163	+2.242	17	8	0.0033	0.0016	0.0075	0.0012	0.0011	0.0020	
GD 405	23 16 43.875	+47 27 15.57	16.751	-0.166	-0.811	-0.517	 ... 	 ... 	2	1	0.0071	0.0057	0.0170	0.0071	 ... 	 ... 	
GD 405A	23 16 44.966	+47 26 59.90	15.615	+1.063	+1.326	+0.663	+0.579	+1.243	1	1	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
GD 251	23 34 20.865	+29 18 36.99	15.745	-0.182	-1.003	-0.068	-0.171	-0.236	2	1	0.0198	0.0205	0.0071	0.0085	0.0424	0.0325	
