Name	RA	Dec	V_ref	B-V	U-B	V-R	R-I	V-I	n	m	e_V	e_B-V	e_U-B	e_V-R	e_R-I	e_V-I	
113 259	21 41 44.849	+00 17 40.05	11.744	1.199	1.22	0.621	0.544	1.167	98	83	0.0005	0.0008	0.0017	0.0004	0.0005	0.0007	
113 260	21 41 48.071	+00 23 52.81	12.406	0.514	0.069	0.308	0.298	0.606	23	11	0.0044	0.0021	0.0029	0.0019	0.0015	0.0019	
113 475	21 41 51.293	+00 39 20.78	10.304	1.058	0.841	0.568	0.528	1.097	89	79	0.0004	0.0005	0.0012	0.0004	0.0006	0.0006	
113 263	21 41 52.873	+00 25 37.60	15.481	0.28	0.074	0.194	0.207	0.401	4	1	0.01	0.008	0.025	0.0035	0.012	0.014	
113 366	21 41 53.577	+00 29 22.85	13.537	1.096	0.896	0.623	0.588	1.211	2	1	0.0007	0.0049	0.0049	0.0113	0.0021	0.0099	
113 265	21 41 53.746	+00 18 04.21	14.934	0.639	0.101	0.411	0.395	0.807	9	4	0.018	0.012	0.0163	0.016	0.017	0.0263	
113 268	21 41 57.086	+00 19 55.88	15.281	0.589	-0.018	0.379	0.407	0.786	6	2	0.0033	0.0094	0.0229	0.0078	0.0208	0.0229	
113 34	21 41 58.784	+00 01 06.97	15.173	0.484	-0.054	0.306	0.346	0.652	2	1	0.0014	0.0035	0.0205	0.0106	0.0127	0.0021	
113 372	21 42 01.99	+00 28 38.9	13.681	0.67	0.08	0.395	0.37	0.766	2	1	0.0042	0.0028	0.0141	0.0042	0.0099	0.0064	
113 149	21 42 05.56	+00 09 25.7	13.469	0.621	0.043	0.379	0.386	0.765	2	1	0.0078	0.0148	0.0099	0.0049	0.0085	0.0042	
113 153	21 42 08.863	+00 15 04.78	14.476	0.745	0.285	0.462	0.441	0.902	3	2	0.1051	0.0381	0.0502	0.0121	0.0139	0.0064	
113 272	21 42 20.301	+00 20 58.51	13.904	0.633	0.067	0.37	0.34	0.71	2	1	0.0014	0.0007	0.0255	0.0007	0.0134	0.012	
113 156	21 42 21.714	+00 12 10.06	11.224	0.526	-0.057	0.303	0.314	0.618	2	1	0.0035	0.0035	0.0057	0.0042	0.0007	0.0028	
113 158	21 42 21.763	+00 14 09.73	13.116	0.723	0.247	0.407	0.374	0.782	3	2	0.0035	0.0023	0.004	0.0029	0.0046	0.0029	
113 491	21 42 24.506	+00 43 54.63	14.373	0.764	0.306	0.434	0.42	0.854	4	2	0.0025	0.002	0.0185	0.0085	0.0095	0.0175	
113 492	21 42 27.808	+00 38 21.96	12.174	0.553	0.005	0.342	0.341	0.684	9	5	0.0033	0.0063	0.0063	0.0027	0.0033	0.0053	
113 493	21 42 28.579	+00 38 11.53	11.767	0.786	0.392	0.43	0.393	0.824	8	4	0.0039	0.0035	0.0064	0.0028	0.0018	0.0039	
113 495	21 42 29.737	+00 38 07.96	12.437	0.947	0.53	0.512	0.497	1.01	6	3	0.0024	0.0029	0.0053	0.0033	0.0037	0.0057	
113 163	21 42 35.438	+00 16 45.54	14.54	0.658	0.106	0.38	0.355	0.735	15	7	0.0041	0.0049	0.0093	0.0054	0.0083	0.0108	
113 165	21 42 37.998	+00 15 33.15	15.639	0.601	0.003	0.354	0.392	0.746	2	1	0.0007	0.0057	0.0297	0.0212	0.0431	0.0643	
113 281	21 42 38.704	+00 18 56.66	15.247	0.529	-0.026	0.347	0.359	0.706	2	1	0.0078	0.0014	0.0311	0.0021	0.0368	0.0389	
113 167	21 42 40.950	+00 16 08.62	14.841	0.597	-0.034	0.351	0.376	0.728	2	1	0.0007	0.0099	0.024	0.0071	0.0141	0.0219	
113 177	21 42 56.538	+00 14 43.80	13.56	0.789	0.318	0.456	0.436	0.89	27	13	0.0052	0.004	0.006	0.0044	0.0037	0.0056	
113 182	21 43 08.336	+00 14 49.98	14.37	0.659	0.065	0.402	0.422	0.824	13	6	0.0144	0.0089	0.0089	0.0039	0.0086	0.0089	
113 187	21 43 20.629	+00 16 54.22	15.08	1.063	0.969	0.638	0.535	1.174	7	4	0.006	0.0163	0.0299	0.0068	0.0042	0.0072	
113 189	21 43 27.481	+00 17 20.91	15.421	1.118	0.958	0.713	0.605	1.319	8	4	0.0138	0.0127	0.0714	0.0113	0.0074	0.0156	
113 307	21 43 30.444	+00 18 04.17	14.214	1.128	0.911	0.63	0.614	1.245	2	1	0.0049	0.0269	0.0035	0.0014	0.0219	0.0198	
113 191	21 43 33.561	+00 15 54.39	12.337	0.799	0.223	0.471	0.466	0.937	7	4	0.0042	0.0023	0.0045	0.0023	0.0023	0.0034	
113 195	21 43 40.819	+00 17 21.83	13.692	0.73	0.201	0.418	0.413	0.832	10	5	0.0051	0.0057	0.0101	0.0032	0.0038	0.0032	
G93 48D	21 52 10.158	+02 21 25.52	13.664	0.636	0.12	0.368	0.362	0.724	21	9	0.0016	0.0025	0.0033	0.0018	0.0028	0.003	
G93 48C	21 52 13.86	+02 21 52.9	12.664	1.32	1.26	0.852	0.759	1.61	33	16	0.0005	0.0015	0.0054	0.001	0.0011	0.0018	
G93 48A	21 52 17.45	+02 23 14.2	12.856	0.715	0.278	0.403	0.365	0.772	26	14	0.0017	0.002	0.0032	0.0009	0.0018	0.0023	
G93 48B	21 52 18.349	+02 23 10.40	12.416	0.719	0.194	0.405	0.383	0.791	25	14	0.0019	0.0017	0.0038	0.0012	0.0014	0.002	
G93 48	21 52 25.379	+02 23 19.60	12.743	-0.011	-0.79	-0.096	-0.099	-0.195	106	90	0.0006	0.0007	0.0016	0.0006	0.0017	0.0018	
PG2213-006F	22 16 12.898	-00 17 55.86	12.644	0.678	0.171	0.395	0.384	0.781	30	15	0.001	0.0011	0.0019	0.0006	0.0013	0.0014	
PG2213-006C	22 16 17.674	-00 22 14.30	15.108	0.726	0.175	0.425	0.432	0.853	34	17	0.002	0.003	0.0039	0.002	0.0039	0.0047	
PG2213-006E	22 16 21.309	-00 17 39.75	13.776	0.661	0.087	0.397	0.373	0.778	3	3	0.0025	0.0029	0.0027	0.0029	0.0052	0.0032	
PG2213-006B	22 16 21.757	-00 21 48.50	12.71	0.753	0.291	0.427	0.404	0.831	24	13	0.0007	0.0014	0.0018	0.0005	0.0011	0.0012	
PG2213-006D	22 16 22.59	-00 17 40.7	13.987	0.787	0.128	0.486	0.479	0.967	34	16	0.0015	0.0015	0.0029	0.0009	0.0021	0.0022	
PG2213-006A	22 16 23.206	-00 21 26.98	14.18	0.665	0.094	0.407	0.408	0.817	32	17	0.0006	0.0007	0.0025	0.0016	0.0026	0.003	
PG2213-006	22 16 28.375	-00 21 13.51	14.137	-0.214	-1.176	-0.072	-0.132	-0.211	33	18	0.001	0.0014	0.0006	0.0011	0.0044	0.0057	
G156 31	22 38 33.592	-15 17 59.44	12.361	1.993	1.408	1.648	2.042	3.684	20	8	0.0027	0.0049	0.013	0.0027	0.0027	0.0029	
114 531	22 40 36.756	+00 51 55.46	12.095	0.733	0.175	0.421	0.404	0.824	55	44	0.0009	0.0011	0.0013	0.0006	0.0008	0.0009	
114 637	22 40 42.570	+01 03 10.62	12.07	0.801	0.307	0.456	0.415	0.872	15	8	0.0044	0.0018	0.008	0.0026	0.0023	0.0028	
114 446	22 41 03.873	+00 46 01.40	12.064	0.737	0.237	0.397	0.369	0.769	2	1	0.0035	0.0035	0.0064	0.0035	0.0028	0.0007	
114 654	22 41 26.140	+01 10 10.69	11.833	0.656	0.178	0.368	0.341	0.711	6	3	0.0008	0.0037	0.0057	0.0016	0.0033	0.0037	
114 656	22 41 35.072	+01 11 09.79	12.644	0.965	0.698	0.547	0.506	1.051	5	1	0.0036	0.0067	0.0219	0.004	0.0018	0.0049	
114 548	22 41 36.833	+00 59 05.80	11.599	1.362	1.568	0.738	0.651	1.387	64	54	0.0011	0.0013	0.0052	0.0007	0.0007	0.001	
114 750	22 41 44.703	+01 12 36.36	11.916	-0.037	-0.367	0.027	-0.016	0.01	68	57	0.0012	0.0005	0.0013	0.001	0.0003	0.0013	
114 755	22 42 07.584	+01 16 48.99	10.909	0.57	-0.063	0.313	0.31	0.622	23	18	0.0009	0.0009	0.0019	0.0006	0.0008	0.0013	
114 670	22 42 09.288	+01 10 16.80	11.101	1.206	1.223	0.645	0.561	1.208	16	10	0.0027	0.0015	0.0117	0.002	0.0022	0.002	
114 176	22 43 10.181	+00 21 15.57	9.239	1.485	1.853	0.8	0.717	1.521	60	43	0.001	0.0013	0.0032	0.0006	0.0008	0.0009	
HD 216135	22 50 28.229	-13 18 44.34	10.111	-0.119	-0.618	-0.052	-0.065	-0.119	27	20	0.0006	0.0011	0.0016	0.0011	0.0009	0.0012	
G156 57	22 53 16.728	-14 15 49.32	10.192	1.557	1.179	1.179	1.543	2.73	18	11	0.0017	0.0015	0.0035	0.0008	0.0014	0.0006	
GD 246A	23 12 17.442	+10 46 12.87	12.962	0.463	-0.047	0.288	0.296	0.584	21	11	0.0019	0.0022	0.0034	0.0017	0.0015	0.0025	
GD 246	23 12 21.63	+10 47 04.3	13.09	-0.318	-1.194	-0.148	-0.181	-0.328	113	97	0.0009	0.0009	0.0014	0.0008	0.0019	0.0021	
GD 246B	23 12 28.998	+10 47 11.37	14.368	0.919	0.693	0.512	0.431	0.944	20	9	0.0019	0.0028	0.0111	0.0023	0.0056	0.007	
GD 246C	23 12 30.920	+10 49 13.96	13.637	0.879	0.54	0.484	0.448	0.933	20	10	0.0018	0.0015	0.0052	0.0016	0.0027	0.0031	
F 108	23 16 12.408	-01 50 35.12	12.973	-0.237	-1.05	-0.106	-0.14	-0.245	118	100	0.0007	0.0007	0.0011	0.0009	0.0019	0.0021	
PG2317+046	23 19 55.349	+04 52 34.60	12.876	-0.246	-1.137	-0.074	-0.035	-0.118	10	4	0.0085	0.0041	0.0079	0.0032	0.0028	0.0079	
PG2331+055	23 33 44.468	+05 46 39.81	15.182	-0.066	-0.487	-0.012	-0.031	-0.044	2	1	0.0057	0.0071	0.0035	0.0078	0.0057	0.0127	
PG2331+055A	23 33 49.373	+05 46 52.58	13.051	0.741	0.257	0.419	0.401	0.821	2	1	0.0021	0.0014	0.0014	0.0014	0.0014	0.0014	
PG2331+055B	23 33 51.128	+05 45 09.07	14.744	0.819	0.429	0.481	0.454	0.935	2	1	0.0035	0.0007	0.0014	0.0035	0.0064	0.0021	
PG2336+004B	23 38 38.287	+00 42 46.40	12.429	0.517	-0.048	0.313	0.317	0.627	10	5	0.0006	0.0008	0.0012	0.0003	0.0012	0.0012	
PG2336+004A	23 38 42.579	+00 42 28.76	11.274	0.686	0.129	0.394	0.382	0.769	10	5	0.0006	0.0006	0.0011	0.0007	0.0006	0.0009	
PG2336+004	23 38 43.58	+00 42 59.3	15.885	-0.16	-0.781	-0.056	-0.048	-0.109	10	5	0.007	0.0056	0.0007	0.0079	0.0125	0.0217	
115 554	23 41 30.848	+01 26 25.21	11.812	1.005	0.548	0.586	0.538	1.127	2	1	0.0042	0.0028	0.0028	0.0057	0.0021	0.0028	
115 486	23 41 32.988	+01 16 44.80	12.482	0.493	-0.049	0.298	0.308	0.607	16	9	0.0025	0.0035	0.0047	0.002	0.002	0.002	
115 412	23 42 00.947	+01 09 01.74	12.209	0.573	-0.04	0.327	0.335	0.665	2	1	0.0021	0.0049	0.0035	0.0007	0.0021	0.0021	
115 268	23 42 30.663	+00 52 10.93	12.494	0.634	0.077	0.366	0.348	0.714	1	1	nan	nan	nan	nan	nan	nan	
115 420	23 42 36.481	+01 05 58.82	11.16	0.467	-0.019	0.288	0.293	0.581	91	82	0.0006	0.0005	0.0008	0.0005	0.0006	0.0007	
115 271	23 42 41.825	+00 45 13.14	9.693	0.612	0.109	0.354	0.349	0.702	118	96	0.0005	0.0004	0.0008	0.0003	0.0005	0.0007	
115 516	23 44 15.37	+01 14 12.7	10.431	1.028	0.76	0.564	0.534	1.099	100	89	0.0006	0.0005	0.0012	0.0004	0.0004	0.0006	
BD +1 4774	23 49 12.526	+02 24 04.42	8.993	1.434	1.105	0.964	1.081	2.047	6	6	0.0012	0.0016	0.002	0.0008	0.0016	0.0016	
PG2349+002	23 51 53.228	+00 28 17.6	13.277	-0.191	-0.921	-0.103	-0.116	-0.219	11	5	0.0063	0.0106	0.0078	0.0057	0.0078	0.006	
GD 2B	00 07 25.484	+33 19 00.17	13.279	0.588	-0.001	0.35	0.349	0.697	19	10	0.001	0.0018	0.0019	0.0011	0.001	0.0014	
GD 2A	00 07 26.174	+33 18 19.18	14.853	0.912	0.684	0.53	0.462	1.002	17	8	0.0024	0.0021	0.0091	0.0016	0.002	0.0022	
GD 2	00 07 32.261	+33 17 27.62	13.802	-0.295	-1.192	-0.142	-0.171	-0.313	26	13	0.0015	0.0016	0.0015	0.0009	0.0018	0.0022	
GD 2C	00 07 32.355	+33 20 14.69	13.314	0.619	0.081	0.36	0.357	0.718	17	8	0.0013	0.0013	0.0017	0.0008	0.0015	0.0013	
GD 2E	00 07 36.675	+33 17 41.73	15.188	0.575	0.076	0.339	0.323	0.652	7	4	0.0024	0.0038	0.007	0.0024	0.0085	0.0087	
GD 2D	00 07 41.634	+33 17 57.33	14.255	0.605	0.007	0.355	0.37	0.729	9	5	0.0049	0.0024	0.0024	0.0042	0.0065	0.0047	
GD 410	00 35 24.704	+60 58 11.27	12.845	0.725	0.086	0.441	0.438	0.879	1	1	nan	nan	nan	nan	nan	nan	
GD 8C	00 39 37.145	+31 37 03.40	13.299	0.636	0.14	0.371	0.358	0.724	14	7	0.0016	0.0019	0.0019	0.0009	0.0015	0.0021	
GD 8A	00 39 40.965	+31 32 44.53	14.593	0.695	0.199	0.4	0.378	0.78	17	9	0.0011	0.0012	0.0042	0.0012	0.003	0.0024	
GD 8B	00 39 44.863	+31 36 36.48	13.653	0.803	0.454	0.446	0.395	0.837	17	8	0.0006	0.0006	0.0032	0.0005	0.0013	0.0011	
GD 8	00 39 52.163	+31 32 29.19	14.699	-0.275	-1.169	-0.145	-0.197	-0.348	17	9	0.0012	0.0007	0.0027	0.0007	0.0022	0.0024	
SA 20-245	00 44 21.182	+45 55 12.77	8.951	0.866	0.575	0.476	0.421	0.894	9	4	0.0017	0.0006	0.0017	0.001	0.001	0.0011	
SA 20-130	00 44 44.437	+45 49 50.97	11.032	1.052	0.845	0.553	0.514	1.069	11	6	0.0005	0.0012	0.0021	0.0009	0.0005	0.0009	
SA 20-133	00 44 49.522	+45 44 57.85	10.824	0.457	0.138	0.268	0.26	0.528	10	6	0.0007	0.0014	0.0018	0.001	0.001	0.0006	
SA 20-139	00 45 13.834	+45 47 48.08	11.272	1.076	0.893	0.567	0.522	1.091	10	5	0.0006	0.0006	0.0037	0.0006	0.0009	0.0005	
SA 20-39	00 45 34.099	+45 36 48.21	9.353	0.472	0.092	0.277	0.28	0.555	10	5	0.0013	0.0016	0.0013	0.001	0.0007	0.0016	
SA 20-291	00 45 37.914	+45 56 54.86	10.454	0.794	0.429	0.425	0.388	0.812	8	5	0.0009	0.0004	0.0011	0.0004	0.0012	0.0014	
SA 20-43	00 45 42.450	+45 35 15.39	10.412	0.764	0.301	0.43	0.409	0.838	6	3	0.0006	0.0022	0.0031	0.0012	0.0023	0.0031	
SA 20-297	00 45 51.821	+45 53 44.79	8.907	-0.054	-0.417	-0.015	-0.02	-0.032	6	3	0.0007	0.0006	0.0017	0.0017	0.0017	0.0012	
SA 20-420	00 45 56.621	+46 04 33.36	9.52	1.007	0.733	0.534	0.5	1.028	14	8	0.0006	0.0006	0.0006	0.0007	0.0004	0.0009	
SA 20-163	00 45 59.779	+45 48 13.11	10.458	1.029	0.872	0.554	0.498	1.042	11	6	0.0004	0.0011	0.0022	0.0009	0.0016	0.0005	
SA 20-431	00 46 21.507	+46 06 30.24	9.951	1.091	0.974	0.571	0.521	1.088	12	7	0.0016	0.0005	0.001	0.0006	0.0006	0.0006	
SA 20-435	00 46 25.267	+46 02 50.54	11.307	0.664	0.199	0.377	0.354	0.732	12	7	0.0007	0.0006	0.0006	0.0011	0.0009	0.0006	
SA 20-182	00 46 31.259	+45 50 25.68	12.732	1.023	0.763	0.548	0.517	1.066	11	6	0.0027	0.0016	0.003	0.0011	0.0021	0.0023	
SA 20-186	00 46 34.507	+45 50 50.56	11.109	0.418	0.115	0.259	0.275	0.531	14	8	0.0005	0.0006	0.0006	0.0006	0.0006	0.0009	
SA 20-446	00 46 48.808	+46 10 50.01	10.005	0.246	0.161	0.127	0.129	0.259	14	7	0.0004	0.0008	0.0017	0.0009	0.0005	0.001	
SA 20-338	00 47 08.418	+45 54 16.58	12.475	0.515	0.023	0.303	0.301	0.608	10	5	0.0022	0.0016	0.0031	0.0005	0.0018	0.0018	
SA 20-208	00 47 10.514	+45 52 33.54	12.628	0.606	0.01	0.359	0.361	0.722	9	4	0.0009	0.001	0.0035	0.0013	0.0022	0.0014	
SA 20-340	00 47 11.482	+45 53 22.77	10.127	0.968	0.637	0.514	0.48	0.995	10	5	0.0014	0.0004	0.003	0.001	0.0004	0.0008	
SA 20-456	00 47 12.443	+46 10 57.01	9.543	0.09	0.067	0.04	0.041	0.08	14	7	0.0006	0.001	0.0019	0.0006	0.0006	0.001	
SA 20-342	00 47 15.064	+45 54 09.59	14.65	0.923	0.556	0.516	0.46	0.976	15	7	0.0007	0.0029	0.0058	0.0007	0.0007	0.0014	
SA 20-343	00 47 15.351	+45 55 13.18	14.124	0.73	0.289	0.412	0.384	0.803	12	6	0.0017	0.0023	0.0023	0.0026	0.0007	0.0034	
SA 20-345	00 47 19.094	+45 53 29.19	14.406	0.755	0.286	0.412	0.382	0.797	17	8	0.0026	0.0043	0.0055	0.0024	0.0027	0.0028	
SA 20-346	00 47 21.152	+45 53 42.01	14.875	0.53	-0.036	0.34	0.317	0.648	21	9	0.0013	0.0027	0.0047	0.002	0.0043	0.0043	
GD 273	01 06 20.426	+56 04 56.53	15.694	0.084	-0.665	-0.069	-0.084	-0.152	2	1	0.0071	0.0028	0.0177	0.0481	0.0269	0.0233	
GD 10	01 06 53.995	+39 30 56.92	15.456	0.198	-0.621	0.054	0.127	0.155	10	4	0.0007	0.0032	0.0029	0.0028	0.011	0.012	
GD 10A	01 06 58.606	+39 30 53.12	13.694	0.824	0.453	0.461	0.422	0.88	7	4	0.0006	0.0007	0.0017	0.0013	0.0005	0.0007	
GD 10B	01 07 00.369	+39 31 35.07	14.194	0.572	0.013	0.332	0.334	0.668	8	4	0.0018	0.0019	0.0022	0.0016	0.004	0.0048	
GD 10C	01 07 05.379	+39 31 28.37	14.388	0.522	-0.037	0.307	0.328	0.632	6	3	0.0019	0.0037	0.0022	0.0039	0.006	0.0065	
GD 11	01 09 23.224	+37 32 45.78	15.235	-0.223	-1.058	-0.075	-0.164	-0.238	1	1	nan	nan	nan	nan	nan	nan	
GD 275	01 18 54.162	+52 27 13.59	15.683	0.144	-0.526	0.029	-0.058	-0.027	1	1	nan	nan	nan	nan	nan	nan	
GD 275A	01 18 54.297	+52 27 49.99	15.019	1.483	1.363	0.821	0.776	1.596	1	1	nan	nan	nan	nan	nan	nan	
GD 418	01 23 24.123	+64 54 17.02	14.951	0.785	0.08	0.51	0.503	1.013	1	1	nan	nan	nan	nan	nan	nan	
GD 276	01 23 50.663	+47 47 14.62	16.501	0.17	-0.633	0.07	0.044	0.113	2	1	0.0049	0.0127	0.0064	0.0014	0.0481	0.0488	
GD 277	01 29 23.992	+51 08 46.99	13.536	-0.105	-0.906	-0.104	-0.107	-0.213	14	6	0.0009	0.0013	0.0026	0.0007	0.0026	0.0034	
GD 277A	01 29 28.971	+51 09 19.49	13.811	1.258	0.98	0.707	0.671	1.383	13	6	0.0017	0.0005	0.0061	0.0009	0.001	0.0024	
GD 277B	01 29 29.917	+51 08 02.46	14.524	0.659	0.276	0.427	0.427	0.857	14	6	0.0019	0.0009	0.0039	0.0029	0.001	0.0035	
GD 13A	01 29 40.762	+42 27 54.91	15.001	0.751	0.308	0.439	0.386	0.826	1	1	nan	nan	nan	nan	nan	nan	
GD 13	01 29 42.654	+42 28 18.01	14.885	-0.089	-0.914	-0.001	0.247	0.236	1	1	nan	nan	nan	nan	nan	nan	
GD 278	01 30 58.075	+53 21 39.40	14.899	0.186	-0.24	0.072	0.035	0.099	4	3	0.0087	0.0037	0.0028	0.005	0.0094	0.0096	
GD 278A	01 30 58.464	+53 22 17.91	14.851	1.447	1.724	0.807	0.753	1.561	5	3	0.002	0.0041	0.0087	0.0037	0.0045	0.0067	
GD 278B	01 31 06.659	+53 20 17.12	14.205	0.693	0.19	0.449	0.467	0.92	4	2	0.001	0.0025	0.0055	0.004	0.0065	0.01	
GD 421A	01 50 28.859	+67 44 10.59	14.579	2.597	2.14	1.544	1.391	2.93	2	1	0.0021	0.0318	0.1202	0.0021	0.0014	0.0028	
GD 421C	01 50 34.378	+67 41 53.09	12.158	2.375	2.636	1.349	1.232	2.576	2	1	0.0007	0.0028	0.1259	0.0007	0.0007	0.0014	
GD 421B	01 50 35.942	+67 43 57.79	14.407	1.197	0.812	0.654	0.603	1.256	2	1	0.0021	0.0057	0.0431	0.0071	0.0028	0.0021	
GD 421	01 51 10.260	+67 39 32.25	14.414	-0.213	-1.068	-0.095	-0.062	-0.158	4	2	0.0055	0.004	0.0045	0.006	0.0095	0.013	
GD 421D	01 51 31.415	+67 42 39.05	12.455	1.128	0.712	0.678	0.669	1.345	2	1	0.0028	0.0007	0.0057	0.0007	0.0071	0.0071	
GD 279F	01 51 55.046	+46 58 52.28	13.946	0.568	0.095	0.343	0.338	0.679	6	3	0.005	0.0029	0.002	0.0025	0.0029	0.0048	
GD 279H	01 51 55.520	+47 01 37.32	10.389	1.118	0.958	0.605	0.547	1.148	8	4	0.001	0.002	0.0016	0.0004	0.0004	0.001	
GD 279D	01 51 59.862	+47 03 02.63	13.241	0.558	0.027	0.334	0.332	0.662	8	4	0.0005	0.0009	0.0011	0.0005	0.0022	0.0011	
GD 279C	01 52 00.142	+47 01 40.56	13.913	1.068	0.78	0.571	0.52	1.102	10	5	0.0011	0.0011	0.0051	0.0007	0.0014	0.0007	
GD 279B	01 52 02.409	+47 01 41.48	11.714	0.267	0.138	0.146	0.165	0.313	8	4	0.0009	0.0008	0.0013	0.0009	0.0004	0.001	
GD 279	01 52 02.960	+47 00 06.64	12.457	0.087	-0.613	-0.079	-0.056	-0.132	12	7	0.001	0.0006	0.002	0.0005	0.0022	0.0015	
GD 279A	01 52 02.968	+47 00 34.16	13.05	0.996	0.686	0.554	0.519	1.073	13	6	0.0005	0.0012	0.004	0.0013	0.0009	0.0008	
GD 279E	01 52 03.399	+47 03 18.06	14.011	0.736	0.281	0.415	0.395	0.813	8	4	0.0007	0.0008	0.0026	0.0027	0.0043	0.0014	
GD 279G	01 52 05.094	+46 58 51.38	14.156	0.535	0.029	0.325	0.342	0.671	8	4	0.0033	0.0029	0.0038	0.0039	0.0027	0.0046	
GD 279I	01 52 09.789	+47 00 03.75	14.443	0.979	0.582	0.545	0.535	1.079	8	4	0.0028	0.0035	0.0166	0.0032	0.0078	0.0099	
GD 281	02 03 12.919	+54 48 28.68	13.955	0.587	-0.047	0.386	0.368	0.754	1	1	nan	nan	nan	nan	nan	nan	
GD 283	02 35 30.708	+57 15 24.50	13.736	0.145	-0.533	-0.029	-0.008	-0.039	1	1	nan	nan	nan	nan	nan	nan	
GD 38	03 02 30.970	+38 01 00.10	15.74	-0.214	-1.102	-0.164	-0.184	-0.346	1	1	nan	nan	nan	nan	nan	nan	
SA 23-195	03 43 51.964	+45 10 02.52	12.125	0.688	0.275	0.421	0.429	0.855	20	10	0.0008	0.0009	0.0019	0.0008	0.0008	0.0009	
SA 23-198	03 43 56.438	+45 09 41.46	11.559	0.192	-0.389	0.133	0.144	0.274	18	10	0.0009	0.0009	0.0012	0.0007	0.0007	0.0004	
SA 23-15	03 44 05.128	+45 06 03.00	10.658	0.375	0.167	0.202	0.213	0.415	12	7	0.0006	0.0005	0.0013	0.0005	0.0009	0.0005	
SA 23-402	03 44 23.010	+45 23 37.73	9.835	0.172	-0.455	0.11	0.114	0.226	17	9	0.0008	0.001	0.0016	0.0004	0.0006	0.0007	
SA 23-241	03 44 36.960	+45 17 59.22	12.312	0.768	0.249	0.458	0.448	0.904	13	7	0.0013	0.0016	0.0028	0.0007	0.0008	0.0009	
SA 23-45	03 44 42.135	+45 04 43.53	9.972	1.249	1.16	0.663	0.594	1.25	13	7	0.0013	0.0007	0.0007	0.0004	0.0007	0.0005	
SA 23-246	03 44 43.903	+45 18 01.25	11.7	0.278	0.124	0.154	0.165	0.318	11	6	0.001	0.0005	0.0022	0.0005	0.0005	0.001	
SA 23-561	03 44 53.412	+45 30 25.87	10.546	0.515	0.391	0.287	0.301	0.589	9	5	0.0005	0.001	0.0011	0.0009	0.0007	0.0006	
SA 23-418	03 44 56.347	+45 18 59.93	11.716	0.7	0.154	0.407	0.385	0.798	10	5	0.0005	0.0008	0.0013	0.0012	0.0006	0.0006	
SA 23-57	03 44 59.361	+45 03 47.90	10.368	1.879	2.213	1.169	1.265	2.443	16	8	0.0007	0.0013	0.0041	0.0009	0.0009	0.0008	
SA 23-264	03 45 04.420	+45 17 48.41	10.335	1.098	0.993	0.591	0.521	1.109	9	5	0.0012	0.0012	0.0013	0.0005	0.0006	0.0012	
SA 23-433	03 45 27.133	+45 28 46.63	14.526	0.658	0.38	0.386	0.386	0.775	6	3	0.0013	0.0018	0.0014	0.003	0.0013	0.005	
SA 23-435	03 45 31.545	+45 27 19.89	13.474	0.755	0.22	0.469	0.476	0.945	15	7	0.0012	0.0005	0.0032	0.0013	0.0008	0.0006	
SA 23-436	03 45 33.388	+45 27 12.92	13.876	1.645	1.671	0.915	0.84	1.762	20	8	0.0016	0.0025	0.0034	0.001	0.0005	0.001	
SA 23-438	03 45 35.825	+45 24 31.45	13.327	0.886	0.362	0.511	0.514	1.024	2	1	0.0007	0.0035	0.0113	0.0014	0.0049	0.0028	
SA 23-439	03 45 38.594	+45 25 15.33	14.999	0.869	0.34	0.512	0.537	1.049	2	1	0.0057	0.0042	0.0141	0.0014	0.0198	0.0177	
SA 23-440	03 45 39.288	+45 28 12.70	12.03	0.861	0.423	0.493	0.464	0.964	3	2	0.0035	0.0006	0.0046	0.0029	0.0012	0.0023	
SA 23-441	03 45 39.328	+45 25 37.28	14.512	1.004	0.511	0.573	0.556	1.132	7	3	0.0098	0.0038	0.0125	0.0042	0.0045	0.003	
SA 23-443	03 45 45.754	+45 25 33.98	10.691	0.604	0.195	0.368	0.369	0.74	2	1	0.0014	0.0014	0.0035	0.0007	0.0007	0.0014	
SA 23-444	03 45 48.007	+45 27 17.36	15.433	0.932	0.47	0.55	0.514	1.071	4	2	0.003	0.0125	0.0455	0.0065	0.0105	0.0035	
SA 23-300	03 45 56.378	+45 14 43.91	9.437	0.474	-0.005	0.293	0.287	0.579	9	5	0.0007	0.0007	0.0013	0.0007	0.0014	0.0007	
GD 61C	04 38 27.184	+41 10 07.68	13.731	0.548	0.32	0.344	0.357	0.697	14	7	0.0009	0.0007	0.0013	0.0006	0.001	0.0013	
GD 61B	04 38 29.122	+41 11 00.48	14.129	0.317	0.139	0.191	0.232	0.431	14	7	0.0006	0.0011	0.0006	0.0018	0.0021	0.0012	
GD 61	04 38 39.369	+41 09 32.37	14.879	-0.112	-0.966	-0.053	-0.043	-0.091	16	7	0.0008	0.0011	0.0025	0.0027	0.0088	0.0108	
GD 61A	04 38 41.533	+41 10 51.24	14.42	0.415	0.227	0.261	0.327	0.595	14	7	0.0005	0.0015	0.001	0.0007	0.0022	0.0038	
GD 64D	04 57 08.313	+41 55 12.86	12.799	0.595	0.19	0.37	0.368	0.739	2	1	0.0014	0.0007	0.0071	0.0071	0.0007	0.0007	
